,0,1,2,3
86,BHGB10-21.adj,48,0.07801418439716312,0.0017199780724963401
87,BHGB10-42.adj,9,0.2222222222222222,0.0060078445787023795
88,BHGB11-11.adj,47,0.08880666049953746,0.0004247966300521723
89,BHGB11-13.adj,46,0.07149758454106281,0.0009112326445707665
90,BHGB11-25.adj,30,0.12643678160919541,0.0006365796776873924
91,BHGB11-26.adj,44,0.12156448202959831,0.00023427587255148155
92,BHGB11-27.adj,36,0.14126984126984127,0.0010460239569056746
93,BHGB11-28.adj,25,0.11,0.0028815130996711798
94,BHGB11-29.adj,41,0.12804878048780488,0.00039324210400773664
95,BHGB11-30.adj,31,0.12473118279569892,0.0003471560845666469
96,BHGB11-31.adj,35,0.15126050420168066,0.0003675824036202601
97,BHGB11-55.adj,7,0.2857142857142857,0.006275468276715388
