network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
TRK51_051209.adj,42,79,0.6672345040996039,0.6919779870751075,0.26379741664031914,0.29227960933494246
TRK57a_051409.adj,35,49,0.592894036045585,0.5936116510980222,0.22131248186627617,0.24728957543899419
TRK57b_051409.adj,41,53,0.5295028958345168,0.5479090828271659,0.21810273102004127,0.21560453823923081
TRK60_051509.adj,49,92,0.6692824076080593,0.6818092156334894,0.2812994973616981,0.2761488470566123
TRK64a_051909.adj,34,47,0.6163805711827147,0.5914443047650415,0.2932987415666651,0.2483798939867772
TRK64b_051909.adj,45,124,0.7529157912501963,0.7974939176228567,0.29012459057852663,0.3742178319855298
TRKa37-3-12.adj,24,61,0.7580904871581461,0.8085712004330184,0.40324959554835715,0.43485107231043085
TRKa41-3-12.adj,30,69,0.73270160018372,0.7723043395600534,0.3386594755915212,0.37885193148859736
TRKa42-3-12.adj,21,50,0.7573312283786998,0.799088822045347,0.42336132588233427,0.4370326935472901
TRKa43-3-12.adj,23,70,0.7313082049492063,0.8461624505649848,0.5019008366834454,0.4870677409788368
TRKa44-3-12.adj,29,45,0.5264393411869758,0.6481642638873202,0.28853838358370926,0.2903354471140944
TRKa45-3-12.adj,10,17,0.7589535714285712,0.7593576823597838,0.5489285714285714,0.480878713745182
TRKa46-3-12.adj,2,1,0.5,0.5,0.5,0.5
TRKa47-3-12.adj,7,10,0.7324444444444443,0.7330682891587983,0.5650793650793651,0.5064960232603856
TRKa48-3-12.adj,12,23,0.7509640752765749,0.7787308515608083,0.45552248677248675,0.4775215791793192
TRKa49-3-12.adj,16,42,0.7818867608086356,0.8337470271304197,0.4970395923520923,0.5094964313145366
TRKa51a-3-12.adj,23,38,0.6346501610866263,0.6881853512285585,0.2781060150221545,0.33424666180317275
TRKa51b-3-12.adj,23,50,0.757940689403874,0.771346544829044,0.38737239314032956,0.40027300591674275
TRKa52-3-12.adj,29,81,0.7949925922927328,0.8197523468220113,0.37861890927995656,0.43098963104233945
TRKa53-3-12.adj,27,67,0.7001733332086476,0.7962257061815137,0.3230779191410949,0.41108762333859217
TRKa54-3-12.adj,8,10,0.7277827380952381,0.690817675822963,0.44836309523809526,0.44959548248977865
TRKb06-3-12.adj,15,32,0.71555719342386,0.7906121361176098,0.43200256533589865,0.46443140761003204
TRKb07-3-12.adj,24,51,0.6937171151449106,0.7636827178333632,0.3090244164705313,0.38969293696800317
TRKb09-3-12.adj,19,37,0.7122916432266276,0.7528109660411046,0.39385443131573156,0.40115236027047935
TRKb10-3-12.adj,20,32,0.6842359809157987,0.6893261313203416,0.39020782880689997,0.34768375443173705
TRKb11-3-12.adj,23,73,0.7939733255357833,0.8535955128974656,0.4304160507485316,0.4978437559050896
TRKb12-3-12.adj,32,104,0.80345703228191,0.8466720457591579,0.41509701212334055,0.4573638769446246
TRKb13a-3-12.adj,14,14,0.5534334415584413,0.5579842741647975,0.32531952174809314,0.30491676270775664
TRKb13b-3-12.adj,18,33,0.7089815266432912,0.7403018891428357,0.42989225280891946,0.3964817990181536
TRKb16-3-12.adj,10,19,0.7792037037037036,0.7864444401295119,0.5021428571428571,0.5113206136714137
TRKb17-3-12.adj,14,24,0.7455777159348587,0.7386624210915449,0.39658575551432695,0.42165360359746534
TRKb18-3-12.adj,11,17,0.6635310245310245,0.7245039612671772,0.41721981721981727,0.4360215566513225
WETA0513-20.adj,48,107,0.6646118275271783,0.7385081695223217,0.3255945643653145,0.31755735145762676
whale2002.adj,42,82,0.6287581590944159,0.7044067620910148,0.2419084322286534,0.3007057213601
whale2003.adj,31,74,0.647168677240397,0.7795429734203603,0.34345553618501135,0.3828196699175353
whale2006.adj,43,124,0.7131826851814707,0.8098972572301388,0.3533384477268427,0.390357626467968
whale2007.adj,25,38,0.5444837778802861,0.6522406234341919,0.23125815104116357,0.3043832344104143
whale2009.adj,46,188,0.7799206067793374,0.8731209645264442,0.3108055684442849,0.4699818131412756
stickleback_atton_group_1.adj,9,13,0.6394714873603761,0.7200182849424103,0.4693709582598471,0.45949944183940317
stickleback_atton_group_2.adj,10,14,0.7257137566137566,0.7051851971966482,0.46285714285714286,0.43327500716785455
