network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
TRKa52-3-12.adj,29,81,0.7958081929780507,0.37861890927995656,0.8197523468220113,0.43098963104233945
TRKa53-3-12.adj,27,67,0.7025282675955743,0.3230779191410949,0.7962257061815137,0.41108762333859217
TRKa54-3-12.adj,8,10,0.7228005952380953,0.4470238095238095,0.6905534221497593,0.4498606444362674
TRKb06-3-12.adj,15,32,0.7310631491964825,0.43200256533589865,0.7906121361176098,0.46443140761003204
TRKb07-3-12.adj,24,51,0.6741685619651109,0.3077792954701298,0.7634999308707864,0.3895069012511129
TRKb09-3-12.adj,19,37,0.7076244531182612,0.39385443131573156,0.7528109660411046,0.40115236027047935
TRKb10-3-12.adj,20,32,0.6850818503936149,0.3929636826308653,0.6891043361010377,0.3473418063987175
TRKb11-3-12.adj,23,73,0.7883304253341269,0.4304160507485316,0.8535955128974656,0.4978437559050896
TRKb12-3-12.adj,32,104,0.7969201205794995,0.41270240144583936,0.8465407960454162,0.45718895760693246
TRKb13a-3-12.adj,14,14,0.5628034121962693,0.3179779215493501,0.5576662929491365,0.3043673812462764
TRKb13b-3-12.adj,18,33,0.7098520680481464,0.4263422277311166,0.7400753946731825,0.39628005865043925
TRKb16-3-12.adj,10,19,0.7624505291005289,0.500079365079365,0.7862570578988107,0.5098885912928705
TRKb17-3-12.adj,14,24,0.7227486098557526,0.39190677047819905,0.7384103155880799,0.42126804338943086
TRKb18-3-12.adj,11,17,0.7030158730158731,0.41721981721981727,0.7245039612671772,0.4360215566513225
WETA0513-20.adj,48,107,0.6493982252153642,0.32442461230003655,0.7384059261311897,0.3174553756146154
whale2002.adj,42,82,0.6422611953655559,0.2408434943982674,0.7042900793038362,0.30063431724223716
whale2003.adj,31,74,0.6513256366945367,0.34345553618501135,0.7795429734203603,0.3828196699175353
whale2006.adj,43,124,0.7334280409125582,0.3533384477268427,0.8098972572301388,0.39035762645283134
whale2007.adj,25,38,0.575870356851536,0.23125815104116357,0.6522406234341919,0.3043832344104143
whale2009.adj,46,188,0.802673153155208,0.3101496453652776,0.8730245987718901,0.469934570902765
stickleback_atton_group_1.adj,9,13,0.6456284538506759,0.4693709582598471,0.7200182849424103,0.45949944183940317
stickleback_atton_group_2.adj,10,14,0.70490873015873,0.4643650793650793,0.7049105651927677,0.4332694321211725
stickleback_atton_group_3.adj,9,12,0.7052733686067019,0.4601410934744268,0.6970344342480229,0.4394907372499774
stickleback_atton_group_4.adj,10,12,0.6387402116402114,0.3693915343915344,0.6573071748567252,0.3982060855350924
stickleback_atton_group_5.adj,10,13,0.7139084656084655,0.5267460317460317,0.6823776488636704,0.4161413855494745
stickleback_atton_group_6.adj,10,12,0.6880246031746032,0.3545767195767196,0.6573071748567252,0.3982060855350924
stickleback_atton_group_7.adj,9,13,0.7135026455026455,0.446031746031746,0.7200182849424103,0.45949944183940317
guppy_hasenjager_familiar_1.adj,6,7,0.7118888888888887,0.46666666666666656,0.6935609656768519,0.49043482767685187
guppy_hasenjager_familiar_10.adj,6,8,0.7665277777777777,0.5833333333333333,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_2.adj,6,8,0.7479166666666667,0.5833333333333333,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_4.adj,6,8,0.7495833333333334,0.5833333333333333,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_5.adj,6,8,0.7383333333333333,0.5833333333333333,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_6.adj,6,8,0.7430555555555555,0.5833333333333333,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_7.adj,6,8,0.7202777777777778,0.5361111111111111,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_8.adj,6,8,0.7444722222222221,0.5111111111111111,0.7271834350537036,0.5202373112759259
guppy_hasenjager_familiar_9.adj,6,7,0.7213888888888887,0.6249999999999999,0.6935609656768519,0.49043482767685187
Weighted_Barn_swallow_contact_network_Levin.adj,17,22,0.6520627934157347,0.37678585031526207,0.6277150115981278,0.32297391069573417
Weighted_Barn_swallow_non_physical_social_interaction_Levin.adj,17,25,0.6635554260554261,0.37515186338715756,0.6729670857571551,0.3515071283656674
weighted_geese_female_foraging.adj,20,29,0.5110736485578976,0.2782399088126642,0.6547858228245768,0.3252838651772344
weighted_geese_male_foraging.adj,22,30,0.5572786379583452,0.3205937622592562,0.6235673316788856,0.29828522741213204
weighted_hens_pecking_order.adj,32,496,0.96875,0.96875,0.96875,0.9687500000000003
weighted_Flock_Season2_Dryad.adj,31,46,0.43798231153815526,0.21053359269722888,0.6261107759571775,0.27286309111333734
weighted_Flock_Season3_Dryad.adj,23,34,0.5159464678406458,0.28527134547518823,0.6489131575944692,0.3092386105123029
weighted_sparrow_social_2009.adj,30,44,0.46573241786895686,0.30588575616478125,0.6248011044738179,0.2747351937044306
weighted_sparrow_social_2010.adj,36,52,0.3785692759680746,0.18573993516135856,0.6044965786210832,0.2512111664117568
Thornbill_Farine.adj,37,55,0.4316229665046787,0.171910018140106,0.613338443162293,0.25380250358335754
social_weaver_0.adj,18,28,0.533375709983553,0.29428889616798115,0.6882387261337706,0.3568569742956653
social_weaver_1.adj,7,12,0.7323174603174601,0.5015873015873016,0.775386717587536,0.5592491930995995
social_weaver_10.adj,16,21,0.570651931401931,0.29058586089836086,0.6398883459872257,0.3369478736560035
social_weaver_11.adj,42,113,0.6700032434507941,0.28330733924150603,0.7952287579692966,0.37640940117105987
social_weaver_12.adj,39,124,0.7308242215396178,0.2779090128370194,0.8343462192433402,0.42592977130591375
social_weaver_13.adj,31,117,0.705650292943129,0.3550479349051984,0.8721217367107486,0.4996830765715751
social_weaver_14.adj,11,38,0.870982683982684,0.5963924963924964,0.8796563130197314,0.6655391712270446
social_weaver_15.adj,23,43,0.44182577574841725,0.25377029807522533,0.7281645427582054,0.3634530263149502
social_weaver_17.adj,6,9,0.7519166666666666,0.5361111111111111,0.7544582278346295,0.5494303362151851
social_weaver_18.adj,6,11,0.7879166666666666,0.6083333333333333,0.7936463538389263,0.6188331970993709
social_weaver_19.adj,18,80,0.893947359225137,0.5782517893629004,0.9051907701785169,0.6352113324990123
social_weaver_2.adj,5,10,0.8,0.8,0.8,0.8
social_weaver_20.adj,14,62,0.8990748299319726,0.6639455782312925,0.9056854044031755,0.6894406300689129
social_weaver_21.adj,15,64,0.8874934744268078,0.5956613756613758,0.9010335337405794,0.659938891630887
social_weaver_22.adj,24,62,0.7257268545111722,0.34035603509932705,0.8120646261529948,0.43886180640856287
social_weaver_3.adj,42,152,0.7352368289782643,0.28327629067909094,0.8561056761028613,0.4498872256011594
social_weaver_4.adj,18,27,0.45841707535988585,0.28389441289768086,0.6758879525992334,0.3485564456702532
social_weaver_5.adj,13,19,0.6156492026492028,0.3532689532689533,0.6941140115388498,0.39437247868807745
social_weaver_6.adj,19,64,0.7710896501732415,0.4618273539326171,0.8690521830148857,0.5457405234872305
social_weaver_7.adj,9,10,0.5317630805408582,0.3676660787771899,0.6418987771193709,0.39960190831425624
social_weaver_8.adj,34,147,0.8519684652192372,0.4750291773722833,0.889487461255056,0.5227993835832976
social_weaver_9.adj,12,36,0.8459334215167548,0.6357142857142857,0.8638633925280094,0.6033486169811889
weaver_dijk_social_00.adj,18,28,0.5336045633741711,0.29428889616798115,0.6882387261337706,0.3568569742956653
weaver_dijk_social_01.adj,7,12,0.751015873015873,0.5015873015873016,0.775386717587536,0.5592491930995995
weaver_dijk_social_02.adj,5,10,0.8,0.8,0.8,0.8
weaver_dijk_social_03.adj,42,152,0.7105747892450482,0.28327629067909094,0.8561056761028613,0.4498872256011594
weaver_dijk_social_04.adj,18,27,0.45792302901044724,0.28389441289768086,0.6758879525992334,0.3485564456702532
weaver_dijk_social_05.adj,13,19,0.6380635660635662,0.3532689532689533,0.6941140115388498,0.39437247868807745
weaver_dijk_social_06.adj,19,64,0.7657488431188121,0.4618273539326171,0.8690521830148857,0.5457405234872305
weaver_dijk_social_07.adj,9,10,0.5234544385655496,0.3676660787771899,0.6418987771193709,0.39960190831425624
weaver_dijk_social_08.adj,34,147,0.8311184293017628,0.4750291773722833,0.889487461255056,0.5227993835832976
weaver_dijk_social_09.adj,12,36,0.84210101010101,0.6357142857142857,0.8638633925280094,0.6033486169811889
weaver_dijk_social_10.adj,16,21,0.5753596970159468,0.29058586089836086,0.6398883459872257,0.3369478736560035
weaver_dijk_social_11.adj,42,113,0.6608923258843687,0.28330733924150603,0.7952287579692966,0.37640940117105987
weaver_dijk_social_12.adj,39,124,0.72064971788708,0.2779090128370194,0.8343462192433402,0.42592977130591375
weaver_dijk_social_13.adj,31,117,0.7053489939961636,0.3550479349051984,0.8721217367107486,0.4996830765715751
weaver_dijk_social_14.adj,11,38,0.8748730158730158,0.5963924963924964,0.8796563130197314,0.6655391712270446
weaver_dijk_social_15.adj,23,43,0.4469609380888561,0.25377029807522533,0.7281645427582054,0.3634530263149502
weaver_dijk_social_17.adj,6,9,0.7296944444444444,0.5361111111111111,0.7544582278346295,0.5494303362151851
weaver_dijk_social_18.adj,6,11,0.7794444444444444,0.6083333333333333,0.7936463538389263,0.6188331970993709
weaver_dijk_social_19.adj,18,80,0.8765654561487894,0.5782517893629004,0.9051907701785169,0.6352113324990123
weaver_dijk_social_20.adj,14,62,0.8890714285714285,0.6639455782312925,0.9056854044031755,0.6894406300689129
weaver_dijk_social_21.adj,15,64,0.891683950617284,0.5956613756613758,0.9010335337405794,0.659938891630887
weaver_dijk_social_22.adj,24,62,0.73546270179697,0.34035603509932705,0.8120646261529948,0.43886180640856287
alarm.adj,37,46,0.5120680115592185,0.22343392615574484,0.5395724757481775,0.2183101229701862
barley.adj,48,84,0.625680634079328,0.29931459619164325,0.6583889995823691,0.2630558040941225
child.adj,20,25,0.6417457192088382,0.28286508583722203,0.5995964712506819,0.29376221838283223
insurance.adj,27,52,0.7322530512296987,0.3444545137751441,0.7267245345438252,0.3488240410636879
mildew.adj,35,46,0.6061550264337874,0.29087934833074386,0.5676627927358153,0.23453043155820952
sachs.adj,11,17,0.6205556430101885,0.4056845511390966,0.7245039612671772,0.4360215566513225
water.adj,32,66,0.7362111102686232,0.39728977697111445,0.7376443650801268,0.3441611954728828
weighted_network_col1_day36.adj,50,73,0.5281584849375275,0.23212442552738252,0.585140814741381,0.2216051720126011
weighted_network_col1_day37.adj,49,73,0.4369320987097999,0.19587671241558355,0.5944380699602342,0.22710261868131754
weighted_network_col1_day38.adj,50,74,0.5258582986552851,0.2284248746208459,0.5907454558265937,0.22430994883814676
weighted_network_col1_day40.adj,48,71,0.4856797301354561,0.22656746310567097,0.593273120624141,0.22786310358220158
weighted_network_col2_day34.adj,50,74,0.47641698849792574,0.19525528135923237,0.5907454558265937,0.22430994883814676
weighted_network_col4_day22.adj,49,73,0.5631629667227648,0.25704918314835656,0.5944380699602342,0.22710261868131754
weighted_network_col4_day23.adj,50,74,0.5386020068129793,0.2017844711330462,0.5907454558265937,0.22430994883814676
weighted_network_col4_day24.adj,47,70,0.5645051963874733,0.2221449608502309,0.5971292148774955,0.2308066896121033
weighted_network_col4_day25.adj,50,73,0.5732723775227512,0.22108697125325716,0.585140814741381,0.2216051720126011
weighted_network_col4_day27.adj,49,73,0.5442358899072488,0.2202806069388477,0.5944380699602342,0.22710261868131754
weighted_network_col4_day29.adj,46,68,0.5703381294039723,0.22629965031353982,0.5959462529503494,0.23162695883428575
weighted_network_col4_day31.adj,50,74,0.514848925941775,0.20325548087767364,0.5907454558265937,0.22430994883814676
weighted_network_col4_day32.adj,34,50,0.6008158886949865,0.23677335216045672,0.6159970491549098,0.2610661917023135
weighted_network_col4_day33.adj,33,49,0.6171588153193925,0.2834452855936948,0.6215262485460611,0.26573090546113726
weighted_network_col4_day34.adj,34,50,0.5775083418671976,0.27037014113281693,0.6159970491549098,0.2610661917023135
weighted_network_col4_day35.adj,33,48,0.5905102915799066,0.2662694680743321,0.6134674749976404,0.26139403046649595
weighted_network_col4_day36.adj,33,49,0.5857571204549887,0.2708634175229774,0.6215262485460611,0.26573090546113726
weighted_network_col4_day37.adj,32,47,0.535071690721629,0.28737229445172907,0.620228027409253,0.2675645980310764
weighted_network_col4_day38.adj,35,51,0.5247427973472888,0.22732151529075356,0.609632353374292,0.25555111186049856
weighted_network_col4_day39.adj,31,46,0.5957526589547076,0.284166210463347,0.6261107759571775,0.27286309111333734
weighted_network_col4_day40.adj,35,50,0.5371404965653908,0.27592013509175267,0.6017447190749712,0.25144675240448006
weighted_network_col4_day41.adj,34,50,0.5592220662063975,0.2683710193054818,0.6159970491549098,0.2610661917023135
weighted_ant_quevillon_colony1_day1.adj,28,36,0.5652867224984467,0.2486268054333999,0.5784964725371629,0.25580763241517557
weighted_ant_quevillon_colony1_day2.adj,24,32,0.605607617240165,0.32677209629609005,0.6069810842517779,0.2823114905466407
weighted_ant_quevillon_colony1_day3.adj,23,25,0.5554794648001674,0.21904779635295185,0.5294030433469676,0.2477664291387949
weighted_ant_quevillon_colony1_day4.adj,35,51,0.5793943914656576,0.2474946159879198,0.609632353374292,0.25555111186049856
weighted_ant_quevillon_colony1_day5.adj,23,24,0.4864135413677893,0.2383559649049767,0.5131898192746118,0.24067376464326262
weighted_ant_quevillon_colony1_day6.adj,28,22,0.27384691465784033,0.17786139742679105,0.3833957218927876,0.17850784350566642
weighted_ant_quevillon_colony1_day7.adj,29,43,0.6446319123351604,0.32797484713311625,0.6310813777497924,0.28052954440770805
weighted_ant_quevillon_colony1_day8.adj,36,53,0.6133230492243117,0.27889197627149276,0.6120687738520666,0.25514474641716406
weighted_ant_quevillon_colony2_day1.adj,26,36,0.5902017483389546,0.2940600921272303,0.6144843994514441,0.28001525677797956
weighted_ant_quevillon_colony2_day2.adj,24,30,0.6162439147050017,0.27501857941576163,0.5816188075035774,0.2690507985314199
weighted_ant_quevillon_colony2_day3.adj,28,40,0.627591271667374,0.36428487324631137,0.6202760180632225,0.27722978786405705
weighted_ant_quevillon_colony2_day4.adj,29,40,0.5932425082812222,0.2638178425507164,0.6029687894800332,0.2652184757502462
weighted_ant_quevillon_colony2_day5.adj,30,32,0.48168588690195047,0.24458348432244606,0.4943470600245215,0.21366003651931045
weighted_ant_quevillon_colony2_day6.adj,33,46,0.6097174663909422,0.2521952250660732,0.5965417775905437,0.2527288552540862
weighted_ant_quevillon_colony2_day7.adj,30,44,0.6298915749390849,0.2955525590375645,0.6248011044738179,0.2747351937044306
weighted_ant_quevillon_colony2_day8.adj,26,38,0.6441773844989184,0.325102660869976,0.6351694255027406,0.29145538347979294
beetle_fomica_group_C1_period_1.adj,30,44,0.62233958431297,0.321298878829778,0.6248011044738179,0.2747351937044306
beetle_fomica_group_C1_period_2.adj,28,41,0.6295541660367002,0.3012173114670246,0.6297629037117082,0.2825560617012356
beetle_fomica_group_C2_period_1.adj,26,38,0.6469829533832339,0.3083448459260506,0.6351694255027406,0.29145538347979294
beetle_fomica_group_C2_period_2.adj,29,43,0.6232272798877014,0.32575230724914395,0.6310813777497924,0.28052954440770805
beetle_fomica_group_C3_period_1.adj,26,38,0.6479928549841896,0.37529624544609996,0.6351694255027406,0.29145538347979294
beetle_fomica_group_C3_period_2.adj,25,37,0.6280069680226793,0.3297475023543135,0.6424103420460153,0.2985360953707947
beetle_fomica_group_C4_period_1.adj,30,44,0.6265600295759033,0.30240524735003166,0.6248011044738179,0.2747351937044306
beetle_fomica_group_C4_period_2.adj,28,41,0.6064539409283076,0.29711518671218107,0.6297629037117082,0.2825560617012356
beetle_fomica_group_T1_period_1.adj,29,43,0.6558726310480034,0.3177616032264559,0.6310813777497924,0.28052954440770805
beetle_fomica_group_T2_period_1.adj,29,42,0.6003958684550648,0.3167078086946636,0.6220548267271574,0.2755050464238242
beetle_fomica_group_T3_period_1.adj,29,43,0.5885480692288702,0.27848196657077046,0.6310813777497924,0.28052954440770805
beetle_fomica_group_T4_period_1.adj,27,40,0.6632523725198078,0.32696083651199487,0.6364927243028163,0.2886955186534364
weighted_group_10.adj,13,15,0.6167617055309362,0.35994319071242153,0.6148260627944045,0.3417187937293514
