,0,1,2,3
35,weevil.adj,19,0.1286549707602339,0.28075729064639543
36,windsurfers.adj,43,0.37209302325581395,0.31082718158600653
37,word_of_mouth.adj,38,0.07254623044096728,0.396027113654473
38,zebra.adj,27,0.3162393162393162,0.47137573449489406
39,adelaide_tram.adj,56,0.03506493506493506,0.11510659115922466
40,athens_subway.adj,61,0.033879781420765025,0.2492386410422891
41,athens_tram.adj,49,0.04251700680272109,0.184175313229692
42,bordeaux_ferry.adj,5,0.6,0.07690044466666683
43,brisbane_ferry.adj,31,0.07526881720430108,0.25600738682133095
44,helsinki_rail.adj,75,0.0363963963963964,0.3653485850343124
45,helsinki_subway.adj,19,0.11695906432748537,0.2598882198834775
46,lisbon_rail.adj,65,0.032692307692307694,0.28176453360635395
47,lisbon_subway.adj,50,0.04244897959183674,0.2611142047673102
48,luxembourg_rail.adj,43,0.06201550387596899,0.37532860001751966
49,rennes_subway.adj,29,0.06896551724137931,0.10971522402076074
50,sydney_ferry.adj,81,0.04506172839506173,0.47979514995483613
51,sydney_tram.adj,44,0.046511627906976744,0.2106374450610696
52,toulouse_subway.adj,40,0.04871794871794872,0.20908706040201555
53,toulouse_tram.adj,52,0.03996983408748114,0.22729671703546284
54,venice_tram.adj,70,0.02981366459627329,0.24163644308122123
55,1020clc.adj,44,0.10676532769556026,0.4099948357441107
56,11-64.adj,12,0.19696969696969696,0.18584633504569514
57,AmadMyJn12-10.adj,76,0.07473684210526316,0.4501600696459665
58,AmadMyJn12-11.adj,65,0.07788461538461539,0.42246071768834587
59,AmadMyJn12-20.adj,18,0.21568627450980393,0.407768946127083
60,AmadMyJn12-26.adj,43,0.07751937984496124,0.3454893456718367
61,AmadMyJn12-27.adj,7,0.2857142857142857,0.10164366857142886
62,AmadMyJn12-28.adj,48,0.0851063829787234,0.4471593757695997
63,AmadMyJn12-36.adj,19,0.1871345029239766,0.35233310446257243
64,AmadMyJn12-5.adj,34,0.11051693404634581,0.3801802780847424
65,AmadMyJn12-50.adj,16,0.225,0.27926669806145266
66,AmadMyJn12-51.adj,15,0.18095238095238095,0.27449620402656605
67,AmadMyJn12-6.adj,58,0.06352087114337568,0.45130473193078147
68,Amador10-25.adj,31,0.0989247311827957,0.29562049328022183
69,Amador10-26.adj,13,0.1794871794871795,0.22973900071262082
70,Amador10-27.adj,44,0.08562367864693446,0.4004545345498235
71,Amador10-28.adj,33,0.09659090909090909,0.33011198648380874
72,Amador10-29.adj,42,0.06852497096399536,0.34571456346440677
73,Amador10-30.adj,31,0.0989247311827957,0.339786579129337
74,Amador10-31.adj,27,0.1168091168091168,0.34026310089607015
75,Amador10-32.adj,7,0.3333333333333333,0.17973185380952375
76,Amador10-33.adj,15,0.1523809523809524,0.2218739043469124
77,Amador10-34.adj,40,0.10512820512820513,0.3761886652231861
78,Amador10-35.adj,34,0.0944741532976827,0.3088999213036636
79,Amador10-42.adj,11,0.18181818181818182,0.09977775326118317
80,Amador10-43.adj,4,0.8333333333333334,0.0962509225
81,Amador10-62.adj,13,0.19230769230769232,0.24343280710511733
82,Amador10-63.adj,44,0.0708245243128964,0.31666283208109003
83,BHGB10-18.adj,26,0.09538461538461539,0.26811175911344587
84,BHGB10-19.adj,24,0.12318840579710146,0.3104978452071264
85,BHGB10-20.adj,25,0.1,0.2893535459547678
86,BHGB10-21.adj,48,0.07801418439716312,0.4121886081868032
87,BHGB10-42.adj,9,0.2222222222222222,0.11453462756613764
88,BHGB11-11.adj,47,0.08880666049953746,0.3953013506939972
89,BHGB11-13.adj,46,0.07149758454106281,0.37090490455416864
90,BHGB11-25.adj,30,0.12643678160919541,0.3301850866731997
91,BHGB11-26.adj,44,0.12156448202959831,0.4241599210948896
92,BHGB11-27.adj,36,0.14126984126984127,0.39137050492344766
93,BHGB11-28.adj,25,0.11,0.2431485351791728
94,BHGB11-29.adj,41,0.12804878048780488,0.4627420810491454
95,BHGB11-30.adj,31,0.12473118279569892,0.33141995798662943
96,BHGB11-31.adj,35,0.15126050420168066,0.43523996734945875
97,BHGB11-55.adj,7,0.2857142857142857,0.08497700190476187
98,BHGB11-56.adj,14,0.26373626373626374,0.2260696509410432
99,BHGB11-57.adj,20,0.19473684210526315,0.34718451961827745
100,BHGB11-59.adj,14,0.27472527472527475,0.23701849514739232
